uid,text,A,B,C,D,E,F,G,H,media_refs
25A_Q1,Read this sentence. The engineers tried some other things in the hope of finding a more effective insulation for the compartment. What is the most precise revision for the words The engineers tried some other things?,The engineers did experiments with several new materials,The engineers tested foam and fiberglass,The engineers examined two new materials,The engineers worked with foam and fiberglass,,,,,
25A_Q2,"Which sentence contains an error in its construction and should be revised? (1) Walking dogs, cleaning kennels, hand- feeding newborn kittens, and supporting the pet- adoption process, the animal shelter is looking for volunteers to help with a variety of tasks. (2) Working at the animal shelter is a great way for young people, especially those who aspire to care for and protect animals, to gain valuable work experience. (3) In addition to hands- on training with animal care, volunteers will learn important job skills, such as punctuality, responsibility, and personal initiative. (4) Caring for animals can also help volunteers develop empathy, which is the awareness and understanding of the feelings of others.",,,,,sentence 1,sentence 2,sentence 3,sentence 4,
25A_Q3,"Which edit should be made to correct the sentence? The Colosseum in Rome, Italy which is considered one of the “new” Seven Wonders of the World, is the largest amphitheater ever built and once could hold up to 50,000 spectators.",Delete the comma after Rome.,Insert a comma after Italy.,Delete the comma after World.,Insert a comma after built.,,,,,[25A_Q3_A]
25A_Q4,"Which pair of revisions need to be made in this paragraph? (1) Both Italian gelato and American ice cream are delightful treats to have on a hot summer day, but many people wonder: what is the difference between the two? (2) To start with, the butterfat content is much higher in ice cream than it is in gelato, making the Italian treat a wiser decision for people looking to make healthier choices. (3) Additionally, the mixing process, which adds less air to the frozen treat, makes gelato denser than ice cream. (4) Finally, gelato is served 10 to 15 degrees warmer than ice cream, which enhances the texture and flavor of the gelato, and allow it to melt more quickly.",,,,,Sentence 1: Delete the colon after wonder AND change is to are.,Sentence 2: Delete the comma after with AND change it is to they are.,Sentence 3: Delete the comma after process AND change makes to make.,Sentence 4: Delete the comma after gelato AND change allow to allows.,
25A_Q5,Which sentence should replace sentence 3 to best state the topic of the passage?,Several states have implemented scholarship programs that allow students to attend public universities and community colleges at a very low tuition rate or for free.,"Determining the most effective way to make college affordable is a complex issue, and there are differing opinions about how to approach the problem.",Higher- education institutions should reduce the cost of a college education by finding ways to help students avoid paying for unnecessary classes and materials.,The main concern related to the issue of college affordability is that helping students cover tuition could affect the quality of the education they receive.,,,,,
25A_Q6,Read this sentence. Some note that several states have made their community or state colleges low- cost or free for students with limited resources. Where should the sentence be added to best support the ideas in the second paragraph (sentences 4– 7)?,,,,,at the beginning of the paragraph (before sentence 4),between sentences 4 and 5,between sentences 5 and 6,between sentences 6 and 7,
25A_Q7,Which sentence presents information that shifts away from the topic of the third paragraph (sentences 8– 13) and should be deleted?,sentence 10,sentence 11,sentence 12,sentence 13,,,,,
25A_Q8,"9, 8.2, 8.5, 9.0, 8.4, 8.6, 8.8 At a skating championship, there are seven judges who each award a score for each skater’s performance. The highest and lowest scores given to each skater are discarded, and the mean of the remaining scores is then calculated and reported as the skater’s final score. What is the final score for the skater who received the scores shown above from the judges?",,,,,"Because college affordability is a complicated issue,","With so many opinions about how to make college affordable,","Until college becomes more affordable,",8.70 80 77 CONTINUE CONTINUE ON ON TO TO THE THE NEXT NEXT PAGE PAGE,
25A_Q9,Which concluding sentence should be added after sentence 19 to support the topic of the passage?,The increasing use of technology in college classrooms and the financial support from tuition scholarship programs will make colleges more affordable for many students.,"Statewide tuition scholarship programs will make college more affordable for many students, but these programs may lead to new problems.","Until the problems associated with the rising cost of college are solved, many students will pursue other options after graduating high school.","When the issue of college affordability is resolved, students will be able to make decisions about pursuing higher education without cost being the deciding factor.",,,,,
25A_Q10,"In paragraph 1, the phrases “cool morning breezes swept freely” and “wafting the perfume of sweet grasses” affect the tone of the excerpt by suggesting",,,,,the sadness that the author feels reflecting upon her former way of life.,the enthusiasm with which the author approached her work indoors.,the fond feelings that the author has toward her childhood experiences.,the mix of emotions that the author feels toward her work and her mother.,"[25A_Q10_A], [25A_Q10_B]"
25A_Q11,The author’s use of sequence in paragraphs 1 and 2 contributes to the development of ideas in the excerpt by,listing the many steps that are involved in the process of beading in order to explain its difficulty and complexity.,conveying the importance of following the steps of the beading process in a precise order to work most efficiently.,emphasizing the time required to fully prepare for and execute the many large and small tasks in the activity of beading.,detailing each step in preparation for beading in order to highlight the author’s enthusiasm for the work.,,,,,
25A_Q12,The phrase “just as an artist arranges the paints upon his palette” in paragraph 2 suggests that,,,,,beadwork is a true form of art.,color is a source of artistic inspiration.,all artistic activities begin with a series of steps.,the beadworker tries to imitate art.,
25A_Q13,The details in paragraph 3 convey a central idea of the excerpt by suggesting that,the author was interested in the work because she knew her mother was making something for her.,the author had difficulty learning through observation but wanted to help her mother.,the author was determined to behave according to her mother’s standards and sought her approval.,the author had great admiration for her mother’s precision and mastery of her craft.,,,,,
25A_Q14,How does the author distinguish her point of view from that of her mother?,,,,,by describing their techniques for knotting sinew thread (paragraph 4),by describing their approaches to beadwork design (paragraph 5),by stating her mother’s instructions on working with quills (paragraph 6),by stating her mother’s ideas about activities after lessons (paragraph 7),
25A_Q15,"Read this sentence from paragraph 7. Always after these confining lessons I was wild with surplus spirits, and found joyous relief in running loose in the open again. Which sentence best describes how this sentence fits into the overall structure of the excerpt?",It introduces a shift from the author’s demanding relationship with her mother to her more relaxed relationships with friends.,It signals a change from the challenging aspects of life on the reservation to the advantages of living on the prairie.,It highlights a contrast between the focus and control required while working and the freedom of having fun outside.,It concludes the progression of events in the narrative by describing the sequence of events at the end of the author’s day.,,,,,
25A_Q16,Which sentence best summarizes the process of beading that is described in the excerpt?,,,,,Take a buckskin bag full of beads and spread them out on a mat in different colors like a paint palette; take a double sheet of buckskin and smooth it out on a table; take a sinew and awl and thread the beads onto the buckskin in a desired pattern.,Cut the double sheet of buckskin into a shape; take a skein of sinew and pierce the buckskin with an awl; thread the sinew with beads of many different colors in a simple or complex pattern; twist the sinew to keep it tight after every stitch into the buckskin.,"Arrange the beads into groups of colors on a mat; smooth out a double sheet of buckskin and cut it to shape; take a single thread of sinew; pierce the buckskin with an awl; thread the buckskin with the sinew and string it with beads, carefully twisting after every stitch.","Gather beads, buckskin, sinew, and awl and place them on a mat; cut the buckskin into the desired shape; decide on a pattern for the beads and create it using the sinews and the awl; thread the beads onto the sinew in the desired pattern and twist it tight.",
25A_Q17,The idea that mastering moccasin design and creation requires experience is best illustrated in the excerpt through,the information about the advanced technique of incorporating porcupine quills into a design.,the descriptions of the special materials that must be used to make decorated moccasins.,the descriptions of the various color combinations that make an attractive moccasin design.,the example of the author successfully and independently using a sharpened rod.,,,,,
25A_Q18,The table after paragraph 7 expands on a central idea in the excerpt because it shows that,,,,,the craft the author was learning was a tradition that endured through many generations and changes.,the author’s family incorporated traditional materials into their craft as a way of resisting the influence from European traders.,the uniqueness of the cultural tradition that the author learned as a child was eventually recognized in Europe.,the author was able to incorporate color into her craftwork as a result of trade with other peoples.,
